Aguanil/MG;37273-000
Conceição do Rio Verde/MG;37435-000
Aiuruoca/MG;37450-000
Alagoa/MG;37458-000
Albertina/MG;37596-000
Alpinópolis/MG;37940-000
Alterosa/MG;37145-000
Andradas/MG;37795-000
Andrelândia/MG;37300-000
Arantina/MG;37360-000
Guapé/MG;37180-000
Arceburgo/MG;37820-000
Areado/MG;37140-000
Delfinópolis/MG;37915-000
Baependi/MG;37443-000
Bandeira do Sul/MG;37740-000
Alfenas/MG;37139-200
Boa Esperança/MG;37170-000
Bocaina de Minas/MG;37340-000
Bom Jardim de Minas/MG;37310-000
Bom Jesus da Penha/MG;37948-000
Bom Repouso/MG;37610-000
Bom Sucesso/MG;37220-000
Borda da Mata/MG;37564-000
Botelhos/MG;37720-000
Aguanil/MG;37274-000
Brazópolis/MG;37530-000
Bueno Brandão/MG;37578-000
Cabo Verde/MG;37880-000
Cachoeira de Minas/MG;37545-000
Caldas/MG;37780-000
Camanducaia/MG;37650-000
Cambuí/MG;37600-000
Cambuquira/MG;37420-000
Campanha/MG;37400-000
Campestre/MG;37730-000
Andradas/MG;37797-000
Campo Belo/MG;37270-000
Campo do Meio/MG;37165-000
Campos Gerais/MG;37160-000
Cana Verde/MG;37267-000
Candeias/MG;37280-000
Capetinga/MG;37993-000
Capitólio/MG;37930-000
Careaçu/MG;37582-000
Carmo da Cachoeira/MG;37225-000
Carmo de Minas/MG;37472-000
Carmo do Rio Claro/MG;37150-000
Carrancas/MG;37245-000
Carvalhópolis/MG;37760-000
Carvalhos/MG;37456-000
Cássia/MG;37980-000
Caxambu/MG;37440-000
Borda da Mata/MG;37565-000
Claraval/MG;37997-000
Conceição da Aparecida/MG;37148-000
Conceição das Pedras/MG;37527-000
Conceição do Rio Verde/MG;37430-000
Conceição dos Ouros/MG;37548-000
Congonhal/MG;37584-000
Consolação/MG;37670-000
Coqueiral/MG;37235-000
Cordislândia/MG;37498-000
Córrego do Bom Jesus/MG;37605-000
Campos Gerais/MG;37163-000
Paraisópolis/MG;37665-000
Ouro Fino/MG;37572-000
Cristais/MG;37275-000
Cristina/MG;37476-000
Cruzília/MG;37445-000
Delfim Moreira/MG;37514-000
Delfinópolis/MG;37910-000
Brazópolis/MG;37532-000
Alterosa/MG;37147-000
Divisa Nova/MG;37142-000
Dom Viçoso/MG;37474-000
Doresópolis/MG;37926-000
Machado/MG;37755-000
Elói Mendes/MG;37110-000
Espírito Santo do Dourado/MG;37566-000
Estiva/MG;37542-000
Extrema/MG;37640-000
Fama/MG;37144-000
São Gonçalo do Sapucaí/MG;37493-000
